Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,P-Save%,year
Al-Nassr,3,30,30,2700,30.0,27,0.90,91,69,75.8,22,4,4,13,43.3,6,5,0,1,0.0,2018
Al-Qadsiah,2,30,30,2700,30.0,51,1.70,151,107,70.2,8,4,18,6,20.0,8,6,1,1,14.3,2018
Al-Raed,2,30,30,2700,30.0,46,1.53,142,99,69.7,10,8,12,8,26.7,3,3,0,0,0.0,2018
Al-Shabab,3,30,30,2700,30.0,26,0.87,120,98,81.7,15,9,6,11,36.7,5,4,0,1,0.0,2018
Al-Taawoun,2,30,30,2700,30.0,32,1.07,101,72,71.3,16,8,6,10,33.3,3,3,0,0,0.0,2018
Al-Wehda,2,30,30,2700,30.0,38,1.27,130,96,73.8,12,6,12,6,20.0,5,4,0,1,0.0,2018
Ohod,5,30,30,2700,30.0,64,2.13,153,99,64.1,5,6,19,6,20.0,12,9,1,2,10.0,2018
Al-Ahli,2,26,26,2340,26.0,26,1.00,0,0,,16,7,3,9,34.6,6,2,1,3,33.3,2017
Al-Batin,3,26,26,2340,26.0,45,1.73,0,0,,8,7,11,5,19.2,8,6,2,0,25.0,2017
Al-Ettifaq,3,26,26,2340,26.0,43,1.65,0,0,,10,6,10,3,11.5,3,3,0,0,0.0,2017
Al-Faisaly,1,26,26,2340,26.0,31,1.19,0,0,,9,8,9,6,23.1,6,5,1,0,16.7,2017
Al-Fateh,2,26,26,2340,26.0,35,1.35,0,0,,9,9,8,9,34.6,5,3,1,1,25.0,2017
Al-Fayha,3,26,26,2340,26.0,39,1.50,0,0,,8,10,8,6,23.1,5,5,0,0,0.0,2017
Al-Hilal,2,26,26,2340,26.0,22,0.85,0,0,,16,8,2,8,30.8,4,3,1,0,25.0,2017
Al-Ittihad,2,26,26,2340,26.0,38,1.46,0,0,,8,9,9,5,19.2,5,2,2,1,50.0,2017
Al-Nassr,3,26,26,2340,26.0,33,1.27,0,0,,12,8,6,5,19.2,2,1,0,1,0.0,2017
Al-Qadsiah,2,26,26,2340,26.0,39,1.50,0,0,,6,7,13,4,15.4,10,7,2,1,22.2,2017
Al-Raed,2,26,26,2340,26.0,52,2.00,0,0,,5,9,12,2,7.7,8,8,0,0,0.0,2017
Al-Shabab,2,26,26,2340,26.0,34,1.31,0,0,,8,7,11,5,19.2,4,3,1,0,25.0,2017
Al-Taawoun,2,26,26,2340,26.0,33,1.27,0,0,,9,7,10,6,23.1,4,1,1,2,50.0,2017
Ohod,1,26,26,2340,26.0,47,1.81,0,0,,4,6,16,3,11.5,7,7,0,0,0.0,2017
Al-Ahli,2,26,26,2340,26.0,0,0.00,0,0,,17,4,5,7,26.9,7,4,1,2,20.0,2016
Al-Batin,3,26,26,2340,26.0,0,0.00,0,0,,6,8,12,6,23.1,4,3,0,1,0.0,2016
Al-Ettifaq,1,26,26,2340,26.0,0,0.00,0,0,,7,6,13,3,11.5,4,3,0,1,0.0,2016
Al-Faisaly,2,26,26,2340,26.0,0,0.00,0,0,,6,10,10,6,23.1,4,3,0,1,0.0,2016
Al-Fateh,2,26,26,2340,26.0,0,0.00,0,0,,7,8,11,4,15.4,7,5,0,2,0.0,2016
Al-Hilal,1,26,26,2340,26.0,0,0.00,0,0,,21,3,2,13,50.0,2,0,2,0,100.0,2016
Al-Ittihad,3,26,26,2340,26.0,0,0.00,0,0,,17,4,5,6,23.1,8,6,0,2,0.0,2016
Al-Khaleej,1,26,26,2340,26.0,0,0.00,0,0,,5,8,13,3,11.5,8,5,0,3,0.0,2016
Al-Nassr,3,26,26,2340,26.0,0,0.00,0,0,,16,4,6,11,42.3,2,2,0,0,0.0,2016
Al-Qadsiah,2,26,26,2340,26.0,0,0.00,0,0,,6,10,10,3,11.5,6,4,1,1,20.0,2016
Al-Raed,5,26,26,2340,26.0,0,0.00,0,0,,11,2,13,3,11.5,5,4,0,1,0.0,2016
Al-Shabab,4,26,26,2340,26.0,0,0.00,0,0,,8,9,9,6,23.1,7,5,0,2,0.0,2016
Al-Taawoun,3,26,26,2340,26.0,0,0.00,0,0,,9,4,13,8,30.8,7,5,1,1,16.7,2016
Al-Wehda,3,26,26,2340,26.0,0,0.00,0,0,,5,2,19,1,3.8,6,6,0,0,0.0,2016
Al-Ahli,2,26,26,2340,26.0,0,0.00,0,0,,19,6,1,11,42.3,4,3,0,1,0.0,2015
Al-Faisaly,2,26,26,2340,26.0,0,0.00,0,0,,7,8,11,7,26.9,5,4,1,0,20.0,2015
Al-Fateh,2,26,26,2340,26.0,0,0.00,0,0,,11,8,7,8,30.8,2,2,0,0,0.0,2015
Al-Hilal,3,26,26,2340,26.0,0,0.00,0,0,,17,4,5,12,46.2,2,2,0,0,0.0,2015
Al-Ittihad,3,26,26,2340,26.0,0,0.00,0,0,,15,4,7,7,26.9,3,1,1,1,50.0,2015
Al-Khaleej,2,26,26,2340,26.0,0,0.00,0,0,,8,9,9,6,23.1,6,4,1,1,20.0,2015
Al-Nassr,3,26,26,2250,26.0,0,0.00,0,0,,7,11,8,9,34.6,5,3,1,1,25.0,2015
Al-Qadsiah,1,26,26,2340,26.0,0,0.00,0,0,,6,10,10,7,26.9,4,1,2,1,66.7,2015
Al-Raed,1,26,26,2250,26.0,0,0.00,0,0,,6,6,14,4,15.4,7,7,0,0,0.0,2015
Al-Shabab,2,26,26,2340,26.0,0,0.00,0,0,,11,6,9,8,30.8,3,2,1,0,33.3,2015
Al-Taawoun,3,26,26,2340,26.0,0,0.00,0,0,,13,6,7,6,23.1,6,3,3,0,50.0,2015
Al-Wehda,4,26,26,2250,26.0,0,0.00,0,0,,8,7,11,4,15.4,4,2,2,0,50.0,2015
Hajer,3,26,26,2340,26.0,0,0.00,0,0,,2,3,21,3,11.5,7,5,2,0,28.6,2015
Najran,2,26,26,2340,26.0,0,0.00,0,0,,5,6,15,1,3.8,7,5,2,0,28.6,2015
Al-Ahli,2,26,26,2250,26.0,0,0.00,0,0,,17,9,0,9,34.6,2,2,0,0,0.0,2014
Al-Faisaly,2,26,26,2340,26.0,0,0.00,0,0,,8,6,12,8,30.8,3,3,0,0,0.0,2014
Al-Fateh,2,26,26,2340,26.0,0,0.00,0,0,,9,6,11,4,15.4,10,4,0,6,0.0,2014
Al-Hilal,3,26,26,2340,26.0,0,0.00,0,0,,16,6,4,10,38.5,4,4,0,0,0.0,2014
Al-Ittihad,3,26,26,2337,26.0,0,0.00,0,0,,16,4,6,7,26.9,7,6,0,1,0.0,2014
Al-Khaleej,1,26,26,2340,26.0,0,0.00,0,0,,7,8,11,3,11.5,5,4,0,1,0.0,2014
Al-Nassr,2,26,26,2340,26.0,0,0.00,0,0,,20,4,2,12,46.2,6,6,0,0,0.0,2014
Al-Orobah,3,26,26,2340,26.0,0,0.00,0,0,,4,5,17,4,15.4,5,4,0,1,0.0,2014
Al-Raed,1,26,26,2340,26.0,0,0.00,0,0,,7,5,14,3,11.5,7,6,0,1,0.0,2014
Al-Shabab,3,26,26,2335,26.0,0,0.00,0,0,,11,7,8,10,38.5,2,2,0,0,0.0,2014
Al-Shoulla,3,26,26,2340,26.0,0,0.00,0,0,,5,6,15,4,15.4,4,4,0,0,0.0,2014
Al-Taawoun,4,26,26,2340,26.0,0,0.00,0,0,,7,7,12,5,19.2,5,4,0,1,0.0,2014
Hajer,2,26,26,2336,26.0,0,0.00,0,0,,8,4,14,3,11.5,7,7,0,0,0.0,2014
Najran,3,26,26,2336,26.0,0,0.00,0,0,,7,3,16,6,23.1,8,8,0,0,0.0,2014
