Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls-90,Ast-90,G+A,G-PK-90,G+A-PK,year
Abha,29,27.6,43.5,30,330,2700,30.0,39,27,33,6,6,65,4,1.30,0.90,2.20,1.10,2.00,2019
Al-Adalah,34,28.0,43.0,30,330,2700,30.0,27,13,22,5,8,72,6,0.90,0.43,1.33,0.73,1.17,2019
Al-Ahli,37,28.1,53.3,30,330,2700,30.0,48,32,44,4,6,70,4,1.60,1.07,2.67,1.47,2.53,2019
Al-Ettifaq,27,26.8,57.4,30,330,2700,30.0,44,27,36,8,9,54,3,1.47,0.90,2.37,1.20,2.10,2019
Al-Faisaly,28,28.0,50.9,30,330,2700,30.0,40,27,35,5,7,60,3,1.33,0.90,2.23,1.17,2.07,2019
Al-Fateh,28,27.1,45.9,30,330,2700,30.0,41,25,32,9,12,74,4,1.37,0.83,2.20,1.07,1.90,2019
Al-Fayha,27,28.7,44.6,30,330,2700,30.0,33,21,30,3,4,59,4,1.10,0.70,1.80,1.00,1.70,2019
Al-Hazem,28,27.6,42.9,30,330,2700,30.0,39,28,34,5,8,54,2,1.30,0.93,2.23,1.13,2.07,2019
Al-Hilal,27,28.7,63.8,30,330,2700,30.0,73,48,61,12,14,51,1,2.43,1.60,4.03,2.03,3.63,2019
Al-Ittihad,37,27.4,51.5,30,330,2700,30.0,41,29,34,7,7,72,3,1.37,0.97,2.33,1.13,2.10,2019
Al-Nassr,28,28.3,59.0,30,330,2700,30.0,60,40,51,9,10,51,1,2.00,1.33,3.33,1.70,3.03,2019
Al-Raed,24,27.8,53.3,30,330,2700,30.0,41,21,33,8,10,60,2,1.37,0.70,2.07,1.10,1.80,2019
Al-Shabab,31,28.3,48.2,30,330,2700,30.0,38,30,34,4,8,67,7,1.27,1.00,2.27,1.13,2.13,2019
Al-Taawoun,32,29.5,53.3,30,330,2700,30.0,32,21,28,4,4,72,5,1.07,0.70,1.77,0.93,1.63,2019
Al-Wehda,36,27.7,48.7,30,330,2700,30.0,45,34,42,3,3,77,3,1.50,1.13,2.63,1.40,2.53,2019
Damac,42,28.2,41.5,30,330,2700,30.0,36,22,32,4,5,60,3,1.20,0.73,1.93,1.07,1.80,2019
Al-Ahli,36,28.0,55.7,30,330,2700,30.0,67,48,59,8,8,59,4,2.23,1.60,3.83,1.97,3.57,2018
Al-Batin,32,28.4,39.6,30,330,2700,30.0,28,17,24,4,6,62,2,0.93,0.57,1.50,0.80,1.37,2018
Al-Ettifaq,33,26.0,48.4,30,330,2700,30.0,40,26,38,2,2,84,6,1.33,0.87,2.20,1.27,2.13,2018
Al-Faisaly,25,28.5,50.3,30,330,2700,30.0,51,34,47,4,6,51,3,1.70,1.13,2.83,1.57,2.70,2018
Al-Fateh,30,26.2,42.4,30,330,2700,30.0,30,14,22,8,9,59,2,1.00,0.47,1.47,0.73,1.20,2018
Al-Fayha,34,28.5,44.5,30,330,2700,30.0,33,24,30,3,3,69,6,1.10,0.80,1.90,1.00,1.80,2018
Al-Hazem,30,27.2,43.3,30,330,2700,30.0,32,22,29,3,4,60,3,1.07,0.73,1.80,0.97,1.70,2018
Al-Hilal,30,28.4,64.2,30,330,2700,30.0,66,40,54,12,15,57,7,2.20,1.33,3.53,1.80,3.13,2018
Al-Ittihad,40,27.4,54.2,30,330,2700,30.0,44,34,41,3,5,60,2,1.47,1.13,2.60,1.37,2.50,2018
Al-Nassr,31,28.3,59.0,30,330,2700,30.0,66,50,58,8,9,42,2,2.20,1.67,3.87,1.93,3.60,2018
Al-Qadsiah,33,26.8,48.9,30,330,2700,30.0,34,24,32,2,3,65,5,1.13,0.80,1.93,1.07,1.87,2018
Al-Raed,28,27.5,48.6,30,330,2700,30.0,38,24,32,6,7,51,4,1.27,0.80,2.07,1.07,1.87,2018
Al-Shabab,31,28.0,48.2,30,330,2700,30.0,39,29,36,3,4,65,5,1.30,0.97,2.27,1.20,2.17,2018
Al-Taawoun,27,29.2,54.4,30,330,2700,30.0,59,41,50,9,13,66,3,1.97,1.37,3.33,1.67,3.03,2018
Al-Wehda,28,27.1,51.0,30,330,2700,30.0,40,29,36,4,6,52,1,1.33,0.97,2.30,1.20,2.17,2018
Ohod,42,28.5,47.7,30,330,2700,30.0,24,13,20,4,5,68,5,0.80,0.43,1.23,0.67,1.10,2018
Al-Ahli,32,27.6,,26,286,2340,26.0,58,42,51,7,7,54,1,2.23,1.62,3.85,1.96,3.58,2017
Al-Batin,31,27.6,,26,286,2340,26.0,34,25,32,2,4,58,0,1.31,0.96,2.27,1.23,2.19,2017
Al-Ettifaq,37,25.0,,26,286,2340,26.0,35,25,32,3,4,61,2,1.35,0.96,2.31,1.23,2.19,2017
Al-Faisaly,26,27.5,,26,286,2340,26.0,37,28,34,3,5,54,2,1.42,1.08,2.50,1.31,2.38,2017
Al-Fateh,28,26.6,,26,286,2340,26.0,31,19,28,3,6,51,3,1.19,0.73,1.92,1.08,1.81,2017
Al-Fayha,32,28.1,,26,286,2340,26.0,35,23,33,2,5,59,1,1.35,0.88,2.23,1.27,2.15,2017
Al-Hilal,33,27.2,,26,286,2340,26.0,47,35,41,6,9,43,0,1.81,1.35,3.15,1.58,2.92,2017
Al-Ittihad,29,26.2,,26,286,2340,26.0,32,25,29,3,5,51,1,1.23,0.96,2.19,1.12,2.08,2017
Al-Nassr,35,28.1,,26,286,2340,26.0,47,27,39,8,8,50,1,1.81,1.04,2.85,1.50,2.54,2017
Al-Qadsiah,34,25.1,,26,286,2340,26.0,28,20,24,4,4,46,0,1.08,0.77,1.85,0.92,1.69,2017
Al-Raed,32,27.5,,26,286,2340,26.0,42,33,38,4,4,47,2,1.62,1.27,2.88,1.46,2.73,2017
Al-Shabab,35,26.5,,26,286,2340,26.0,35,26,34,1,2,54,1,1.35,1.00,2.35,1.31,2.31,2017
Al-Taawoun,28,28.4,,26,286,2340,26.0,42,25,36,6,7,50,1,1.62,0.96,2.58,1.38,2.35,2017
Ohod,31,26.8,,26,286,2340,26.0,22,14,18,4,4,58,2,0.85,0.54,1.38,0.69,1.23,2017
Al-Ahli,28,27.4,,26,286,2340,26.0,54,34,49,5,6,39,1,2.08,1.31,3.38,1.88,3.19,2016
Al-Batin,33,27.3,,26,286,2340,26.0,31,20,27,4,7,38,0,1.19,0.77,1.96,1.04,1.81,2016
Al-Ettifaq,33,25.3,,26,286,2340,26.0,29,15,27,2,3,39,1,1.12,0.58,1.69,1.04,1.62,2016
Al-Faisaly,33,28.1,,26,286,2340,26.0,30,18,28,2,3,56,1,1.15,0.69,1.85,1.08,1.77,2016
Al-Fateh,29,27.9,,26,286,2340,26.0,33,18,29,4,5,49,2,1.27,0.69,1.96,1.12,1.81,2016
Al-Hilal,31,26.7,,26,286,2340,26.0,61,40,56,5,8,26,1,2.35,1.54,3.88,2.15,3.69,2016
Al-Ittihad,32,26.0,,26,286,2340,26.0,56,35,53,3,3,44,3,2.15,1.35,3.50,2.04,3.38,2016
Al-Khaleej,31,25.2,,26,286,2340,26.0,31,20,27,4,4,54,5,1.19,0.77,1.96,1.04,1.81,2016
Al-Nassr,27,27.6,,26,286,2340,26.0,42,29,38,4,8,44,0,1.62,1.12,2.73,1.46,2.58,2016
Al-Qadsiah,28,24.1,,26,286,2340,26.0,38,25,33,5,6,57,4,1.46,0.96,2.42,1.27,2.23,2016
Al-Raed,32,26.5,,26,286,2340,26.0,37,25,32,5,5,59,3,1.42,0.96,2.38,1.23,2.19,2016
Al-Shabab,33,26.7,,26,286,2340,26.0,27,17,23,4,5,49,0,1.04,0.65,1.69,0.88,1.54,2016
Al-Taawoun,29,27.8,,26,286,2340,26.0,31,22,28,3,7,48,2,1.19,0.85,2.04,1.08,1.92,2016
Al-Wehda,36,26.5,,26,286,2340,26.0,35,20,30,5,7,56,5,1.35,0.77,2.12,1.15,1.92,2016
Al-Ahli,26,27.5,,26,286,2340,26.0,55,33,46,9,12,31,1,2.12,1.27,3.38,1.77,3.04,2015
Al-Faisaly,31,27.8,,26,286,2340,26.0,27,8,19,8,9,39,3,1.04,0.31,1.35,0.73,1.04,2015
Al-Fateh,25,27.5,,26,286,2340,26.0,35,16,33,2,4,59,3,1.35,0.62,1.96,1.27,1.88,2015
Al-Hilal,30,27.5,,26,286,2340,26.0,52,29,50,2,4,33,1,2.00,1.12,3.12,1.92,3.04,2015
Al-Ittihad,30,25.3,,26,286,2340,26.0,52,24,47,5,9,57,3,2.00,0.92,2.92,1.81,2.73,2015
Al-Khaleej,24,24.9,,26,286,2340,26.0,25,13,22,3,6,60,3,0.96,0.50,1.46,0.85,1.35,2015
Al-Nassr,33,28.0,,26,286,2340,26.0,39,25,34,5,5,46,0,1.50,0.96,2.46,1.31,2.27,2015
Al-Qadsiah,32,23.7,,26,286,2340,26.0,24,13,22,2,2,48,3,0.92,0.50,1.42,0.85,1.35,2015
Al-Raed,31,26.5,,26,286,2340,26.0,29,15,27,2,4,50,0,1.12,0.58,1.69,1.04,1.62,2015
Al-Shabab,29,27.1,,26,286,2340,26.0,26,14,25,1,1,37,2,1.00,0.54,1.54,0.96,1.50,2015
Al-Taawoun,27,28.8,,26,286,2340,26.0,54,34,53,1,3,40,6,2.08,1.31,3.38,2.04,3.35,2015
Al-Wehda,39,26.1,,26,286,2340,26.0,29,20,28,1,2,53,2,1.12,0.77,1.88,1.08,1.85,2015
Hajer,34,25.4,,26,286,2340,26.0,15,7,14,1,2,51,2,0.58,0.27,0.85,0.54,0.81,2015
Najran,34,26.8,,26,286,2340,26.0,36,20,34,2,3,55,7,1.38,0.77,2.15,1.31,2.08,2015
Al-Ahli,30,26.4,,26,286,2340,26.0,58,23,51,7,8,41,1,2.23,0.88,3.12,1.96,2.85,2014
Al-Faisaly,27,26.5,,26,286,2340,26.0,31,16,28,3,5,52,5,1.19,0.62,1.81,1.08,1.69,2014
Al-Fateh,27,28.1,,26,286,2340,26.0,34,12,30,4,4,53,3,1.31,0.46,1.77,1.15,1.62,2014
Al-Hilal,29,27.0,,26,286,2340,26.0,43,14,40,3,4,47,4,1.65,0.54,2.19,1.54,2.08,2014
Al-Ittihad,34,24.8,,26,286,2340,26.0,43,13,38,5,7,48,3,1.65,0.50,2.15,1.46,1.96,2014
Al-Khaleej,29,25.6,,26,286,2340,26.0,34,14,29,5,5,59,2,1.31,0.54,1.85,1.12,1.65,2014
Al-Nassr,28,27.8,,26,286,2340,26.0,60,26,53,7,8,36,4,2.31,1.00,3.31,2.04,3.04,2014
Al-Orobah,33,25.8,,26,286,2340,26.0,21,8,19,2,2,50,1,0.81,0.31,1.12,0.73,1.04,2014
Al-Raed,29,25.6,,26,286,2340,26.0,33,9,24,9,10,50,2,1.27,0.35,1.62,0.92,1.27,2014
Al-Shabab,34,27.6,,26,286,2340,26.0,37,14,32,5,5,44,6,1.42,0.54,1.96,1.23,1.77,2014
Al-Shoulla,33,26.7,,26,286,2340,26.0,26,12,22,4,7,49,4,1.00,0.46,1.46,0.85,1.31,2014
Al-Taawoun,29,26.9,,26,286,2340,26.0,39,18,34,5,5,56,2,1.50,0.69,2.19,1.31,2.00,2014
Hajer,30,26.1,,26,286,2340,26.0,29,11,25,4,4,57,2,1.12,0.42,1.54,0.96,1.38,2014
Najran,33,26.3,,26,286,2340,26.0,27,10,26,1,1,63,3,1.04,0.38,1.42,1.00,1.38,2014
